participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,0.373148148,-0.101851852,1,0,0,5.432,text_option_2_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,-0.405555556,-0.1,1,0,0,1.7727,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,-0.385185185,-0.098148148,1,0,0,2.3149,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p03_syllable_1_chiaba_hit.wav,p03,chiaba,hit,chia-ba,chia-ba,chi-a-ba, ,-0.348148148,-0.097222222,1,0,0,3.1681,text_option_1,,0,0,0,0,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p07_syllable_1_faluduako_hit.wav,p07,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.347222222,-0.094444444,1,0,0,2.4188,text_option_1,,0,1,1,138,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p03_syllable_1_flauro_hit.wav,p03,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.37037037,-0.122222222,1,0,0,2.9822,text_option_1,,0,2,2,5,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_pachialo_hit.wav,p06,pachialo,hit,pa-shi-a-lo,pa-chia-lo,pa-chi-a-lo, ,0.341666667,-0.088888889,1,0,0,1.6545,text_option_2,,0,3,3,126,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_lakakuaisto_hit.wav,p06,lakakuaisto,hit,la-ka-ku-a-is,la-ka-kuais-to,la-ka-ku-ais-to,la-ka-kua-is-to,0.035185185,-0.3,1,0,0,6.6093,text_option_other,la-ku-a-is-ko,0,4,4,117,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p07_syllable_1_lakafiaisto_hit.wav,p07,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.330555556,-0.101851852,1,0,0,7.9653,text_option_1,,0,5,5,146,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p05_syllable_1_costonhialo_hit.wav,p05,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.397222222,-0.103703704,1,0,0,5.3959,text_option_1,,0,6,6,69,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_lakatiaisto_hit.wav,p06,lakatiaisto,hit,la-ka-pia-is-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,0.030555556,-0.09537037,1,0,0,3.7855,text_option_3,,0,7,7,120,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p05_syllable_1_palutrauco_hit.wav,p05,palutrauco,hit,pa-lu-trai-co,pa-lu-trau-co,pa-lu-tra-u-co, ,-0.373148148,-0.103703704,1,0,0,2.0144,text_option_1,,0,8,8,97,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p07_syllable_1_lakagiaisto_hit.wav,p07,lakagiaisto,hit,la-ka-gais-to,la-ka-giais-to,la-ka-gi-ais-to,la-ka-gia-is-to,-0.342592593,-0.10462963,1,0,0,5.6867,text_option_1,,0,9,9,148,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_lakafiaisto_hit.wav,p04,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.333333333,-0.100925926,1,0,0,1.3995,text_option_1,,0,10,10,44,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_lakafuaisto_hit.wav,p04,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.313888889,-0.106481481,1,0,0,1.4906,text_option_1,,0,11,11,45,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p07_syllable_1_lakafuaisto_hit.wav,p07,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.32962963,-0.096296296,1,0,0,1.8387,text_option_1,,0,12,12,147,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_lakafuaisto_hit.wav,p06,lakafuaisto,hit,la-ka-fu-a-is,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.028703704,-0.094444444,1,0,0,8.2725,text_option_3,,0,13,13,113,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p08_syllable_1_faluduako_hit.wav,p08,faluduako,hit,fa-lu-duai-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.338888889,-0.091666667,1,0,0,3.1242,text_option_1,,0,14,14,172,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p03_syllable_1_paluguato_hit.wav,p03,paluguato,hit,pa-lu-gua,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.330555556,-0.093518519,1,0,0,1.2981,text_option_1,,0,15,15,27,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p05_syllable_1_lakagiaisto_hit.wav,p05,lakagiaisto,hit,la-ka-ki-ais-to,la-ka-giais-to,la-ka-gi-ais-to,la-ka-gia-is-to,-0.334259259,-0.108333333,1,0,0,1.1681,text_option_1,,0,16,16,80,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p03_syllable_1_costonhialo_hit.wav,p03,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.324074074,-0.114814815,1,0,0,1.2071,text_option_1,,0,17,17,1,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p08_syllable_1_payielo_hit.wav,p08,payielo,hit,pa-yie-lo,pa-yie-lo,pa-yi-e-lo, ,-0.340740741,-0.093518519,1,0,0,1.0565,text_option_1,,0,18,18,200,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p07_syllable_1_lakaduaisto_hit.wav,p07,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.309259259,-0.110185185,1,0,0,1.7601,text_option_1,,0,19,19,145,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p03_syllable_1_palufauro_hit.wav,p03,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.340740741,-0.099074074,1,0,0,1.4699,text_option_1,,0,20,20,25,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p05_syllable_1_lakadiaisto_hit.wav,p05,lakadiaisto,hit,la-ka-di-ais-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,-0.334259259,-0.106481481,1,0,0,1.4328,text_option_1,,0,21,21,76,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_costonhialo_hit.wav,p06,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.373148148,-0.094444444,1,0,0,2.2259,text_option_1,,0,22,22,103,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_flauro_hit.wav,p04,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.392592593,-0.088888889,1,0,0,0.3154,text_option_1,,0,23,23,39,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p08_syllable_1_lakakiaisto_hit.wav,p08,lakakiaisto,hit,la-ka-ki-jas-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.073148148,-0.10462963,1,0,0,3.4422,text_option_3,,0,24,24,184,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_ruyiola_hit.wav,p04,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.419444444,-0.103703704,1,0,0,0.8781,text_option_1,,0,25,25,66,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_lakaguaisto_hit.wav,p06,lakaguaisto,hit,la-ka-gu-a-is,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,0.325,-0.110185185,1,0,0,5.7825,text_option_2,,0,26,26,115,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p05_syllable_1_payielo_hit.wav,p05,payielo,hit,pai-yu-we-lo,pa-yie-lo,pa-yi-e-lo, ,-0.341666667,-0.101851852,1,0,0,1.38,text_option_1,,0,27,27,98,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p07_syllable_1_costonhialo_hit.wav,p07,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.323148148,-0.112962963,1,0,0,1.7197,text_option_1,,0,28,28,137,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_flauro_hit.wav,p06,flauro,hit,fla-u-ro,flau-ro,fla-u-ro, ,0.385185185,-0.099074074,1,0,0,0.9436,text_option_2,,0,29,29,107,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_mebochiana_hit.wav,p04,mebochiana,hit,me-bo-chia-na,me-bo-chia-na,me-bo-chi-a-na, ,-0.29537037,-0.108333333,1,0,0,1.732,text_option_1,,0,30,30,56,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p03_syllable_1_palufauto_hit.wav,p03,palufauto,hit,pa-lu-fau,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.350925926,-0.103703704,1,0,0,0.9651,text_option_1,,0,31,31,26,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_falutraigo_hit.wav,p04,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.314814815,-0.101851852,1,0,0,0.8632,text_option_1,,0,32,32,38,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_lakabuaisto_hit.wav,p04,lakabuaisto,hit,la-ka-buais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.355555556,-0.099074074,1,0,0,1.0815,text_option_1,,0,33,33,41,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_ruyiola_hit.wav,p06,ruyiola,hit,ru-yi-o-la,ru-yio-la,ru-yi-o-la, ,0.34537037,-0.101851852,1,0,0,1.1637,text_option_2,,0,34,34,134,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p08_syllable_1_palufauro_hit.wav,p08,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,0.360185185,-0.100925926,1,0,0,3.2565,text_option_2,,0,35,35,195,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_rausto_hit.wav,p04,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.367592593,-0.099074074,1,0,0,0.6777,text_option_1,,0,36,36,65,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p08_syllable_1_palutrauco_hit.wav,p08,palutrauco,hit,pa-lu-trau-ko,pa-lu-trau-co,pa-lu-tra-u-co, ,0.373148148,-0.10462963,1,0,0,2.8618,text_option_2,,0,37,37,199,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p05_syllable_1_lakafuaisto_hit.wav,p05,lakafuaisto,hit,la-ka-fais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,0.025925926,-0.3,1,0,0,3.7294,text_option_other,la-ka-fais-to,0,38,38,79,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p07_syllable_1_lakabiaisto_hit.wav,p07,lakabiaisto,hit,la-ka-bais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.009259259,-0.308333333,1,0,0,3.1233,text_option_other,la-ka-bais-to,0,39,39,142,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_lakabiaisto_hit.wav,p04,lakabiaisto,hit,la-ka-biais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.362962963,-0.1,1,0,0,5.7907,text_option_1,,0,40,40,40,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_palufauto_hit.wav,p06,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.346296296,-0.097222222,1,0,0,2.695,text_option_1,,0,41,41,128,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p07_syllable_1_palumaisto_hit.wav,p07,palumaisto,hit,pa-lu-mais-to,pa-lu-mais-to,pa-lu-ma-is-to, ,-0.35462963,-0.108333333,1,0,0,2.0728,text_option_1,,0,42,42,164,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p08_syllable_1_lakadiaisto_hit.wav,p08,lakadiaisto,hit,la-ka-di-jas-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,-0.02037037,-0.30462963,1,0,0,6.2377,text_option_other,la-ka-di-as-to,0,43,43,178,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p04_syllable_1_falufaisto_hit.wav,p04,falufaisto,hit,fa-lu-fais-to,fa-lu-fais-to,fa-lu-fa-is-to, ,-0.4,-0.119444444,1,0,0,0.7159,text_option_1,,0,44,44,37,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p08_syllable_1_lliape_hit.wav,p08,lliape,hit,li-a-pe,llia-pe,lli-a-pe, ,-0.432407407,-0.099074074,1,0,0,1.3018,text_option_1,,0,45,45,190,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p08_syllable_1_palufauto_hit.wav,p08,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.34537037,-0.088888889,1,0,0,2.3606,text_option_1,,0,46,46,196,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p05_syllable_1_falutraigo_hit.wav,p05,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.346296296,-0.12037037,1,0,0,0.8932,text_option_1,,0,47,47,72,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p05_syllable_1_lakakiaisto_hit.wav,p05,lakakiaisto,hit,la-ka-ki-ais-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.336111111,-0.106481481,1,0,0,1.2303,text_option_1,,0,48,48,82,1
5ab3e44cf5918d00012e947a,63f3cfca20052e4ae7554ebf,6453cc133884f0c200ba1892,2023-05-04_17h16.38.522,ga_syllabified_check,2022.2.5,Win32,30.00660145,,,,,,,,,,,,,,./stim/p06_syllable_1_lakabiaisto_hit.wav,p06,lakabiaisto,hit,la-ka-bia-is-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.030555556,-0.099074074,1,0,0,4.8338,text_option_3,,0,49,49,108,1
